universal_classname	defn	img1_filename	img2_filename	img3_filename	img4_filename
bird	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	bird_example1.jpeg	bird_example2.jpeg	bird4.jpg	
cat	feline mammal usually having thick soft fur and no ability to roar: domestic cats	cat3.jpeg	cat1.jpeg	cat2.jpeg	
dog	a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds	dog1.jpeg	dog2.jpeg	dog3.jpeg	
horse	solid-hoofed herbivorous quadruped domesticated since prehistoric times	horse1.jpeg	horse2.jpeg	horse3.jpeg	
sheep	woolly usually horned ruminant mammal related to the goat	sheep1.jpeg	sheep2.jpeg		
cow	cattle that are reared for their meat	cow1.jpeg	cow2.jpeg		
elephant	five-toed pachyderm	elephant1.jpeg	elephant2.jpeg		
bear	massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws	bear1.jpeg	bear2.jpeg	bear3.jpeg	
zebra	any of several fleet black-and-white striped African equines	zebra1.jpeg	zebra2.jpeg		
giraffe	tallest living quadruped;  having a spotted coat and small horns and very long neck and legs  of savannahs of tropical Africa.	giraffe1.jpeg	giraffe2.jpeg		
animal-other	"Any animal that is not a bird	 cat	 dog	 horse	 sheep	 cow	 elephant	 bear	 zebra	 or giraffe"	animal-other1.jpeg	animal-other2.jpeg	animal-other3.jpeg	
motorcyclist	a human relying on a motorcycle/moped for movement. Must be actively riding the motorcycle/moped (not standing nearby it).	motorcyclist1.jpeg	motorcyclist2.jpeg	motorcyclist3.jpeg	
motorcyclist	also includes motorcyclist riding behind driver	motorcyclist_example20.jpg			
bicyclist	a human relying on a bicycle for movement. Must be actively riding the bicycle (not standing nearby it)	bicyclist1.jpeg	bicyclist2.jpeg	bicyclist3.jpeg	
rider-other	"a human relying upon a segway, skateboards, electric scooter, lawn mower, rickshaw, wheelchair etc (any other device that is not a motorcycle, bicycle, or vehicle) for movement on land."	other-rider1.jpeg	other-rider2.jpeg	other-rider3.jpeg	
rider-other		rider-other-4.jpg			
person-non-rider	"a person includes any other kind of human drivers, vehicle passengers, or riders of surfboards, snow skis, horses,  (inline) skates, or convertibles."	person1.jpeg	person2.jpeg	person3.jpeg	
person-non-rider		person-nonrider-1.jpeg	person-nonrider-2.jpeg	person-nonrider-3.jpeg	
cup	a container for holding liquids while drinking. Includes mugs and could be made of plastic or glass or ceramic or paper or styrofoam. Cups include drinking glasses without a stem; if the cup/glass has a stem it is a wine glass	cup1.jpeg	cup2.jpeg	cup3.jpeg	
wine_glass	a glass that has a stem and in which wine is served	wineglass1.jpeg	wineglass2.jpeg	wineglass3.jpeg	
nightstand	"a small low bedside table, typically having drawers. a small bedside table or stand"	nightstand1.jpeg	nightstand6.jpeg	nightstand9.jpeg	
table	"A piece of furniture consisting of a smooth flat slab fixed on legs. A piece of furniture with a flat top and one or more legs, providing a level surface on which objects may be placed, and that can be used for such purposes as eating, writing, working, or playing games."	table3.jpeg	table4.jpeg	table5.jpeg	
desk	"A piece of furniture with a flat or sloped surface with drawers, at which one can read, write, or do other work. A table, frame, or case with a sloping or horizontal surface especially for writing and reading and often with drawers, compartments, and pigeonholes"	desk2.jpeg	desk3.jpeg	desk5.jpeg	
desk-and-table	furniture that could be considered both a desk or a table	desk-table1.png	desk-table2.png	desk-table3.png	desk-table4.png
bathroom-counter	"a long, flat, narrow surface in a bathroom at waist-height"	bathroom-counter1.jpeg	bathroom-counter2.jpeg	bathroom-counter3.jpeg	
counter-other	"a long, flat, narrow surface used for making transactions in a store or in a home kitchen (fixed against a wall for preparing food)."	counter-other1.jpeg	counter-other2.jpeg	counter-other-3.jpeg	
kitchen-island	an unattached counter in a kitchen that permits access from all sides	kitchen-island1.jpeg	kitchen-island2.jpeg	kitchen-island3.jpeg	
table-annotation-error	"more than one type of object is highlighted in pink, or highlighted area is incorrect"	table-annotation-error3.jpeg	table-annotation-error2.jpeg		
table-annotation-error		table-annotation-error4.jpeg	table-annotation-error5.jpeg		
banana	elongated crescent-shaped yellow fruit with soft sweet flesh	banana1.jpeg	banana2.jpeg		
apple	fruit with red or yellow or green skin and sweet to tart crisp whitish flesh	apple1.jpeg			
sandwich	two (or more) slices of bread with a filling between them	sandwich1.jpeg	sandwich2.jpeg		
orange	round yellow to orange fruit of any of several citrus trees	orange1.jpeg	orange2.jpeg		
broccoli	plant with dense clusters of tight green flower buds	broccoli1.jpeg	broccoli2.jpeg		
carrot	deep orange edible root of the cultivated carrot plant	carrot1.jpeg	carrot2.jpeg		
hot dog	a frankfurter served hot on a bun	hotdog1.jpeg	hotdog2.jpeg		
pizza	Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese	pizza1.jpeg	pizza2.jpeg		
donut	a small ring-shaped friedcake	donut1.jpg	donut2.jpeg	donut3.jpeg	
cake	"baked goods made from or based on a mixture of flour, sugar, eggs, and fat"	cake1.jpeg	cake2.jpeg	cake3.jpeg	
fruit-other	"any fruit not an apple, orange, or banana (e.g. pineapple, melon, pear, kiwi, avocado would qualify)"	fruitother1.jpeg	fruitother2.jpeg		
food-other	any other sort of food not listed above.	food-other1.jpeg	food-other2.jpeg	food-other3.jpeg	
vegetation	"plants considered collectively, especially those found in a particular area. Includes thick plant growth, bushes and trees (any dense plants higher than lawn grass)"	vegetation1.jpeg	vegetation2.jpeg	vegetation3.jpeg	
vegetation		vegetation4.jpg			
sconce	"a decorative wall bracket/object for holding lightbulbs, candles or other sources of light. Must be attached to the side of a wall. "	sconce3.jpeg	sconce4.jpeg	sconce5.jpeg	
sconce		sconce1.jpeg	sconce6.jpeg		
chandelier	branched lighting fixture; often ornate; hangs from the ceiling	chandelier1.jpeg	chandelier2.jpeg	chandelier3.jpeg	
lamp	"a device for giving light that has a covering, but allows light to shine through or around. Could be freestanding on a floor and be covered with a shade, or could hang from the ceiling, or be placed on a table/desk/nightstand."	lamp1.jpeg	lamp3.jpeg	lamp4.jpeg	
lamp		lamp5.jpeg	lamp6.jpeg		
light-other	"Any other type of light, e.g. fluorescent ceiling lights, bathroom lights embedded into ceiling, etc."	light-other9.jpg	light-other8.jpg	light-other7.jpg	
light-other		light-other6.jpg	light-other4.jpg	light-other3.jpg	
stool	a simple seat without a back or arms; or a high seat at a bar without arms	stool3.jpeg	stool1.jpeg	stool4.jpeg	
stool		stool5.jpeg			
seat	"a space reserved for sitting (as in a theater, auditorium, stadium, on a train or airplane, or in a car). (that is not a bench, chair, stool, sofa, or armchair)"	seat1.jpeg	seat2.jpeg	seat3.jpeg	
swivel-chair	a chair that swivels on its base. Can be turned around a central point to face in a different direction without moving the legs	swivel-chair1.jpeg	swivel-chair3.jpeg	swivel-chair4.jpeg	
armchair	"chair with a support on each side for arms (that is not a swivel chair, seat, or sofa)"	armchair2.jpeg	armchair3.jpeg	armchair6.jpeg	
chair-other	"Any chair that does NOT fall into the following categories: armchair, stool, seat, sofa. A chair is defined as a seat for one person, with a support for the back."	chair-other1.jpeg	chair-other2.jpeg	chair-other3.jpeg	
streetlight	a lamp or light supported on a lamppost/pole; for illuminating a street	streetlight1.jpeg	streetlight2.jpeg	streetlight3.jpeg	
annotation-error	"some other class (e.g. sidewalk, bicyclist, car, etc) is incorrectly annotated together with the person-non-rider class"	person-annotation-error1.jpeg	person-annotation-error2.jpeg	person-annotation-error3.jpeg	
annotation-error		multiple-different-categories-highlighted1.jpeg	multiple-different-categories-highlighted2.jpg		
